1,1,みきさんは赤い靴を履いていました。
1,2,たけしさんは2匹の犬を散歩させました。
1,3,りかさんは青いカバンを持っていました。
1,4,まさおさんは5冊の本を読んでいました。
1,5,けんじさんは黄色いジャケットを着ています。
1,6,さとしさんは3人の友達とピクニックに行きました。
1,7,さゆりさんは金曜日にピンクのネクタイを買いました。
1,8,ゆうこさんは日曜日に4つのりんごを買いました。
1,9,ひろしさんの車は緑色です。
1,10,ちひろさんは月曜日に2つのケーキを食べました。
2,1,かずみさんは青い帽子をかぶっていました。
2,2,ひろとさんは3匹の猫を飼っています。
2,3,さちこさんは黄色いカサを使っています。
2,4,まなぶさんは2枚の写真を撮りました。
2,5,けいこさんはピンクのスカーフをしています。
2,6,たかしさんは4人の兄弟がいます。
2,7,みちこさんは火曜日に白いバッグを買いました。
2,8,なおこさんは木曜日に5つのプレゼントを受け取りました。
2,9,けんたさんの車は赤色です。
2,10,あやかさんは土曜日に3つのクッキーを食べました。
3,1,ひとみさんは黒い靴を履いています。
3,2,まさひろさんは5羽の鳥を飼っています。
3,3,みさきさんは緑色の財布を持っています。
3,4,たけるさんは2枚の切符を買いました。
3,5,さやさんは赤いネックレスをしています。
3,6,けんじさんは4人の従業員と会議をしました。
3,7,まゆこさんは金曜日に青いスニーカーを買いました。
3,8,ひでおさんは土曜日に3つの雑誌を買いました。
3,9,しおりさんの自転車は白色です。
3,10,なおみさんは木曜日に6つのメールを送りました。
4,1,ゆうこさんは青いセーターを着ています。
4,2,たけしさんは3匹の犬を散歩させました。
4,3,まりこさんは赤いカバンを持っています。
4,4,しゅんすけさんは4冊の本を図書館で借りました。
4,5,ひろこさんは白いコートを着ています。
4,6,さとるさんは2人の友達とカフェに行きました。
4,7,なおきさんは水曜日に黄色い靴を買いました。
4,8,あゆみさんは月曜日に5つのチョコレートを食べました。
4,9,かずこさんの車はピンク色です。
4,10,たくみさんは金曜日に6つのボールを投げました。
5,1,みほさんは黄色いスカートを履いています。
5,2,けんじさんは2羽の鳥を飼っています。
5,3,えみこさんはピンクの財布を持っています。
5,4,たくみさんは5冊の雑誌を買いました。
5,5,なおみさんは青い靴を履いています。
5,6,しんじさんは4人の友達と映画を見ました。
5,7,あいこさんは火曜日に白いシャツを着ました。
5,8,ゆうたさんは日曜日に3つのケーキを食べました。
5,9,ひろしさんの車は黒色です。
5,10,まさひろさんは水曜日に2つのプレゼントを受け取りました。
6,1,さきさんは黄色いカバンを持っていました。
6,2,たけしさんは4つのりんごを買いました。
6,3,ゆうたさんは青い車に乗っています。
6,4,えりさんは赤い靴を履いています。
6,5,まことさんは2つの本を図書館で借りました。
6,6,けんじさんは5人の友達とカフェに行きました。
6,7,ひろこさんは緑色のドレスを着ています。
6,8,たかしさんは3匹の猫を飼っています。
6,9,さやかさんは日曜日に白い帽子をかぶりました。
6,10,なおこさんは6本のペンを持っています。
7,1,まさこさんは赤いジャケットを着ています。
7,2,たかしさんは3つのボールを使って遊びました。
7,3,さやかさんは月曜日に5本の花を買いました。
7,4,ひでおさんは黄色い車を運転しています。
7,5,たろうさんは2つのパンを食べました。
7,6,まりこさんは青いカサを持っています。
7,7,たけしさんは6人の友達とサッカーをしました。
7,8,ゆうたさんは黒い靴を履いています。
7,9,けんじさんは水曜日に4冊の本を読みました。
7,10,あきこさんは緑色のバッグを持っています。
8,1,ひろしさんは黒い帽子をかぶっています。
8,2,たけるさんは2冊のノートを使いました。
8,3,まゆこさんは5人の友達と映画を見ました。
8,4,けんじさんは青いジャケットを着ています。
8,5,たろうさんは火曜日に3つのリンゴを食べました。
8,6,さとしさんは赤いカサを持っています。
8,7,まりこさんは黄色い靴を履いています。
8,8,ゆうたさんは4冊の雑誌を読みました。
8,9,なおみさんは水曜日に6本のペンを買いました。
8,10,ひでおさんは白い車に乗っています。
9,1,あやかさんは青いドレスを着ています。
9,2,ひろとさんは3人の友達と旅行に行きました。
9,3,けんたさんは日曜日に5つのパンを食べました。
9,4,さやかさんは緑色のカバンを持っています。
9,5,まりこさんは2つのプレゼントをもらいました。
9,6,ひでおさんは赤い帽子をかぶっています。
9,7,たろうさんは月曜日に4冊の本を借りました。
9,8,さとしさんは黄色い自転車に乗っています。
9,9,なおみさんは黒い靴を履いています。
9,10,まさおさんは水曜日に6個のクッキーを作りました。
10,1,みきさんは青いシャツを着ています。
10,2,たかしさんは4冊の雑誌を買いました。
10,3,さやかさんは2匹の犬を飼っています。
10,4,まりこさんは5本の花をもらいました。
10,5,ひでおさんは黄色い車を運転しています。
10,6,まことさんは黒い帽子をかぶっています。
10,7,たろうさんは日曜日に3つのケーキを食べました。
10,8,ひろこさんは赤い靴を履いています。
10,9,ゆうたさんは火曜日に6つのボールを投げました。
10,10,あきこさんは緑色のバッグを持っています。
