1,1,ゆうこさんが日曜日に買ったりんごはいくつですか？
1,2,けんじさんが着ていたジャケットは何色ですか？
1,3,まさおさんが読んでいた本は何冊でしたか？
1,4,みきさんが履いていた靴は何色でしたか？
1,5,さとしさんがピクニックに行った友達は何人ですか？
1,6,ひろしさんの車は何色でしたか？
1,7,たけしさんが散歩させた犬は何匹ですか？
1,8,りかさんのカバンは何色でしたか？
1,9,さゆりさんが金曜日に買ったネクタイは何色ですか？
1,10,ちひろさんが月曜日に食べたケーキはいくつですか？
2,1,あやかさんが土曜日に食べたクッキーはいくつですか？
2,2,けんたさんの車は何色ですか？
2,3,まなぶさんが撮った写真は何枚ですか？
2,4,たかしさんには兄弟が何人いますか？
2,5,かずみさんがかぶっていた帽子は何色ですか？
2,6,さちこさんが使っているカサは何色ですか？
2,7,ひろとさんが飼っている猫は何匹ですか？
2,8,けいこさんがしているスカーフは何色ですか？
2,9,みちこさんが火曜日に買ったバッグは何色ですか？
2,10,なおこさんが木曜日に受け取ったプレゼントはいくつですか？
3,1,まさひろさんが飼っている鳥は何羽ですか？
3,2,まゆこさんが金曜日に買ったスニーカーは何色ですか？
3,3,ひでおさんが土曜日に買った雑誌はいくつですか？
3,4,けんじさんが会議をした従業員は何人ですか？
3,5,しおりさんの自転車は何色ですか？
3,6,なおみさんが木曜日に送ったメールはいくつですか？
3,7,ひとみさんが履いている靴は何色ですか？
3,8,たけるさんが買った切符は何枚ですか？
3,9,みさきさんの財布は何色ですか？
3,10,さやさんがしているネックレスは何色ですか？
4,1,あゆみさんが月曜日に食べたチョコレートはいくつですか？
4,2,たけしさんが散歩させた犬は何匹ですか？
4,3,しゅんすけさんが図書館で借りた本は何冊ですか？
4,4,さとるさんがカフェに行った友達は何人ですか？
4,5,なおきさんが水曜日に買った靴は何色ですか？
4,6,ゆうこさんが着ているセーターは何色ですか？
4,7,ひろこさんが着ているコートは何色ですか？
4,8,まりこさんのカバンは何色ですか？
4,9,かずこさんの車は何色ですか？
4,10,たくみさんが金曜日に投げたボールはいくつですか？
5,1,あいこさんが火曜日に着たシャツは何色ですか？
5,2,まさひろさんが水曜日に受け取ったプレゼントはいくつですか？
5,3,しんじさんが映画を見た友達は何人ですか？
5,4,けんじさんが飼っている鳥は何羽ですか？
5,5,えみこさんの財布は何色ですか？
5,6,なおみさんが履いている靴は何色ですか？
5,7,ゆうたさんが日曜日に食べたケーキはいくつですか？
5,8,ひろしさんの車は何色ですか？
5,9,たくみさんが買った雑誌は何冊ですか？
5,10,みほさんが履いているスカートは何色ですか？
6,1,ひろこさんが着ているドレスは何色ですか？
6,2,さきさんが持っていたカバンは何色ですか？
6,3,なおこさんが持っているペンは何本ですか？
6,4,たけしさんが買ったりんごはいくつですか？
6,5,えりさんが履いている靴は何色ですか？
6,6,まことさんが借りた本はいくつですか？
6,7,さやかさんが日曜日にかぶった帽子は何色ですか？
6,8,けんじさんがカフェに行った友達は何人ですか？
6,9,たかしさんが飼っている猫は何匹ですか？
6,10,ゆうたさんが乗っている車は何色ですか？
7,1,けんじさんが水曜日に読んだ本は何冊ですか？
7,2,たけしさんがサッカーをした友達は何人ですか？
7,3,たろうさんが食べたパンはいくつですか？
7,4,ひでおさんが運転している車は何色ですか？
7,5,まさこさんが着ているジャケットは何色ですか？
7,6,ゆうたさんが履いている靴は何色ですか？
7,7,あきこさんが持っているバッグは何色ですか？
7,8,たかしさんが使って遊んだボールはいくつですか？
7,9,まりこさんが持っているカサは何色ですか？
7,10,さやかさんが月曜日に買った花は何本ですか？
8,1,まりこさんが履いている靴は何色ですか？
8,2,たろうさんが火曜日に食べたリンゴはいくつですか？
8,3,なおみさんが水曜日に買ったペンは何本ですか？
8,4,ひろしさんがかぶっている帽子は何色ですか？
8,5,まゆこさんが映画を見た友達は何人ですか？
8,6,ゆうたさんが読んだ雑誌は何冊ですか？
8,7,けんじさんが着ているジャケットは何色ですか？
8,8,さとしさんが持っているカサは何色ですか？
8,9,たけるさんが使ったノートは何冊ですか？
8,10,ひでおさんが乗っている車は何色ですか？
9,1,まりこさんがもらったプレゼントはいくつですか？
9,2,なおみさんが履いている靴は何色ですか？
9,3,けんたさんが日曜日に食べたパンはいくつですか？
9,4,あやかさんが着ているドレスは何色ですか？
9,5,ひでおさんがかぶっている帽子は何色ですか？
9,6,ひろとさんが旅行に行った友達は何人ですか？
9,7,たろうさんが月曜日に借りた本は何冊ですか？
9,8,まさおさんが水曜日に作ったクッキーはいくつですか？
9,9,さやかさんが持っているカバンは何色ですか？
9,10,さとしさんが乗っている自転車は何色ですか？
10,1,たかしさんが買った雑誌は何冊ですか？
10,2,みきさんが着ているシャツは何色ですか？
10,3,あきこさんが持っているバッグは何色ですか？
10,4,たろうさんが日曜日に食べたケーキはいくつですか？
10,5,さやかさんが飼っている犬は何匹ですか？
10,6,ひでおさんが運転している車は何色ですか？
10,7,まりこさんがもらった花は何本ですか？
10,8,ゆうたさんが火曜日に投げたボールはいくつですか？
10,9,ひろこさんが履いている靴は何色ですか？
10,10,まことさんがかぶっている帽子は何色ですか？
